,customer_id,name,age,gender,city,country,occupation,estimated_salary,registration_date,customer_segment
0,15634602,Allison Hill,42,Female,Tokyo,Japan,admin.,101348.88,2024-07-26 14:00:00,medium
1,15647311,Brandon Hall,41,Female,New York,United States,admin.,112542.58,2024-07-25 22:20:00,low
2,15619304,Rhonda Smith,42,Female,Mexico City,Mexico,technician,113931.57,2024-07-30 19:59:00,low
3,15701354,Gabrielle Davis,39,Female,Mumbai,India,services,93826.63,2024-07-22 3:15:00,high value
4,15737888,Valerie Gray,43,Female,SÃ£o Paulo,Brazil,admin.,79084.1,2024-07-02 9:02:00,medium
5,15574012,Darren Roberts,44,Male,Delhi,India,management,149756.71,2024-07-13 4:42:00,low
6,15592531,Holly Wood,50,Male,Shanghai,China,management,10062.8,2024-07-23 9:51:00,medium
7,15656148,Nicholas Martin,29,Female,Kolkata,India,retired,119346.88,2024-07-11 11:12:00,medium
8,15792365,Patty Perez,44,Male,Los Angeles,United States,technician,74940.5,2024-07-01 19:19:00,high value
9,15592389,Emily Rios,27,Male,Dhaka,Bangladesh,services,71725.73,2024-07-18 1:31:00,high value
10,15767821,Justin Baker,31,Male,Buenos Aires,Argentina,admin.,80181.12,2024-07-29 23:33:00,high value
11,15737173,Ann Williams,24,Male,Karachi,Pakistan,blue-collar,76390.01,2024-07-26 4:03:00,low
12,15632264,Julie King,34,Female,Cairo,Egypt,management,26260.98,2024-07-27 13:18:00,high value
13,15691483,Jeffrey Chavez,25,Female,Rio de Janeiro,Brazil,blue-collar,190857.79,2024-07-17 18:55:00,high value
14,15600882,Mark Lynch,35,Female,ÅŒsaka,Japan,technician,65951.65,2024-07-16 9:54:00,high value
15,15643966,Alec Hickman,45,Male,Beijing,China,management,64327.26,2024-07-02 10:25:00,high value
16,15737452,Vanessa Patel,58,Male,Manila,Philippines,blue-collar,5097.67,2024-07-02 23:50:00,high value
17,15788218,Jenny Lewis,24,Female,Moscow,Russia,services,14406.41,2024-07-05 23:42:00,high value
18,15661507,David Brown,45,Male,Istanbul,Turkey,admin.,158684.81,2024-07-09 11:11:00,low
19,15568982,Amy Jones,24,Female,Paris,France,admin.,54724.03,2024-07-12 14:44:00,low
20,15577657,Carlos Walls,41,Male,Seoul,"Korea, South",admin.,170886.17,2024-07-11 20:42:00,low
21,15597945,Jeffrey Henderson,32,Female,Lagos,Nigeria,management,138555.46,2024-07-08 22:33:00,low
22,15699309,Rebecca Rodriguez,38,Female,Jakarta,Indonesia,management,118913.53,2024-07-16 10:17:00,medium
23,15725737,David Leblanc,46,Male,Guangzhou,China,blue-collar,8487.75,2024-07-03 18:20:00,low
24,15625047,Tracy House,38,Female,Chicago,United States,unemployed,187616.16,2024-07-03 21:17:00,high value
25,15738191,Carmen Smith,25,Male,London,United Kingdom,blue-collar,124508.29,2024-07-19 21:18:00,low
26,15736816,Katelyn Lee,36,Male,Lima,Peru,technician,170041.95,2024-07-25 3:44:00,high value
27,15700772,John Calhoun,44,Male,Tehran,Iran,blue-collar,38433.35,2024-07-15 17:11:00,high value
28,15728693,Megan Young,43,Female,Kinshasa,Congo (Kinshasa),admin.,100187.43,2024-07-30 19:44:00,low
29,15656300,Emily Green,29,Male,BogotÃ¡,Colombia,blue-collar,53483.21,2024-07-21 8:26:00,low
30,15589475,Timothy Walls,39,Female,Shenzhen,China,blue-collar,140469.38,2024-07-23 7:04:00,medium
31,15706552,Derek Mahoney,36,Male,Wuhan,China,technician,156731.91,2024-07-27 6:18:00,medium
32,15750181,Victoria Valdez,41,Male,Hong Kong,Hong Kong,blue-collar,81898.81,2024-07-23 10:17:00,high value
33,15659428,Brian Tran,42,Female,Tianjin,China,blue-collar,34410.55,2024-07-23 12:56:00,low
34,15732963,Kathy King,29,Female,Chennai,India,blue-collar,142033.07,2024-07-08 11:52:00,medium
35,15794171,Mandy Green,45,Female,Taipei,Taiwan,management,27822.99,2024-07-14 5:25:00,low
36,15788448,Melissa Hernandez,31,Male,BengalÅ«ru,India,blue-collar,114066.77,2024-07-23 9:33:00,medium
37,15729599,Jacob Fitzpatrick,33,Male,Bangkok,Thailand,management,98453.45,2024-07-03 16:16:00,high value
38,15717426,Jennifer Oliver,36,Male,Lahore,Pakistan,management,40812.9,2024-07-03 0:58:00,high value
39,15585768,Tim Patton,41,Male,Chongqing,China,entrepreneur,178074.04,2024-07-24 17:31:00,low
40,15619360,Andrew Ruiz,40,Male,Miami,United States,blue-collar,70154.22,2024-07-10 21:56:00,high value
41,15738148,Matthew Ross,51,Female,Hyderabad,India,management,181297.65,2024-07-20 15:30:00,medium
42,15687946,William Herrera,61,Female,Dallas,United States,entrepreneur,94153.83,2024-07-11 3:22:00,medium
43,15755196,Kyle Reed,49,Female,Santiago,Chile,blue-collar,194365.76,2024-07-06 15:02:00,low
44,15684171,Andrew Graham,61,Female,Philadelphia,United States,management,158338.39,2024-07-05 20:28:00,low
45,15754849,Belinda Mccullough,32,Female,Belo Horizonte,Brazil,blue-collar,126517.46,2024-07-11 11:28:00,high value
46,15602280,Cheryl Ortega,27,Female,Madrid,Spain,technician,119708.21,2024-07-16 16:25:00,medium
47,15771573,Elizabeth Clark,39,Female,Houston,United States,housemaid,117622.8,2024-07-12 18:02:00,high value
48,15766205,Toni Fitzgerald,38,Male,AhmadÄbÄd,India,technician,90878.13,2024-07-16 22:35:00,medium
49,15771873,Curtis Johnson,37,Female,Ho Chi Minh City,Vietnam,blue-collar,194099.12,2024-07-26 13:20:00,high value
50,15616550,Laura Higgins,44,Male,Washington,United States,blue-collar,198059.16,2024-07-25 3:33:00,low
51,15768193,Shannon Mcclure,36,Male,Atlanta,United States,management,86424.57,2024-07-17 3:30:00,high value
52,15683553,Ryan Bryant,33,Female,Toronto,Canada,retired,116978.19,2024-07-07 5:59:00,low
53,15702298,Stephanie Simmons,41,Male,Singapore,Singapore,blue-collar,164040.94,2024-07-01 2:21:00,high value
54,15569590,Destiny Strickland,42,Male,Luanda,Angola,blue-collar,40014.76,2024-07-01 2:45:00,medium
55,15760861,George Orozco,43,Male,Baghdad,Iraq,admin.,113410.49,2024-07-02 4:17:00,low
56,15630053,Jason Daniels,45,Male,Barcelona,Spain,blue-collar,87107.57,2024-07-13 2:27:00,medium
57,15647091,Pamela James,19,Male,HÄora,India,retired,45613.75,2024-07-25 10:57:00,medium
58,15623944,Stephanie Freeman,66,Female,Shenyang,China,technician,1643.11,2024-07-18 0:37:00,high value
59,15804771,Sara Calhoun,51,Male,Khartoum,Sudan,technician,46775.28,2024-07-22 13:08:00,low
60,15651280,Joel Williams,35,Male,Pune,India,blue-collar,84509.57,2024-07-15 7:21:00,medium
61,15773469,Trevor Fisher,27,Female,Boston,United States,blue-collar,126494.82,2024-07-19 10:29:00,low
62,15702014,Rachael Pearson,33,Male,Sydney,Australia,blue-collar,178798.13,2024-07-07 16:56:00,medium
63,15751208,Brian Gould,56,Male,Saint Petersburg,Russia,blue-collar,99398.36,2024-07-06 1:18:00,low
64,15592461,Michelle Strickland,26,Male,Chittagong,Bangladesh,blue-collar,92840.67,2024-07-04 15:32:00,low
65,15789484,Tina Sanders,36,Female,Dongguan,China,blue-collar,27758.36,2024-07-26 17:17:00,high value
66,15696061,Lindsay Martinez,34,Female,Riyadh,Saudi Arabia,unknown,110431.51,2024-07-01 2:55:00,low
67,15641582,Jason Henry,43,Male,Hanoi,Vietnam,services,196673.28,2024-07-22 16:24:00,low
68,15638424,Tracie Nelson,35,Female,Guadalajara,Mexico,admin.,113656.85,2024-07-21 19:56:00,low
69,15755648,Angelica Keith,21,Female,Melbourne,Australia,technician,18203.0,2024-07-05 13:55:00,low
70,15703793,Frederick Freeman MD,58,Male,Alexandria,Egypt,services,28373.86,2024-07-29 19:40:00,low
71,15620344,Nathan Freeman,29,Male,Chengdu,China,management,33953.87,2024-07-15 21:19:00,medium
72,15812518,Daniel Holt,37,Female,Rangoon,Burma,retired,44203.55,2024-07-16 13:15:00,low
73,15779052,Zachary Pierce,25,Female,Phoenix,United States,blue-collar,58426.81,2024-07-14 11:37:00,low
74,15770811,Corey Wilson,36,Male,Xiâ€™an,China,technician,145562.4,2024-07-11 21:40:00,medium
75,15780961,Kelly Campbell,21,Female,Porto Alegre,Brazil,services,22388.0,2024-07-14 4:15:00,medium
