,customer_id,account_id,loan_amount,loan_type,repayment_status,risk_level,interst_rate
0,15634602,405-8078784-5731545,39698.0,home,default,low,5
1,15647311,171-9198151-1101146,15446.0,home,default,low,7
2,15619304,404-0687676-7273146,11189.0,business,paid,medium,14
3,15701354,403-9615377-8133951,48823.0,business,default,high,20
4,15737888,407-1069790-7240320,47174.0,home,paid,high,18
5,15574012,404-1490984-4578765,19217.0,personal,default,high,16
6,15592531,408-5748499-6859555,40920.0,personal,default,low,7
7,15656148,406-7807733-3785945,45866.0,personal,paid,high,22
8,15792365,407-5443024-5233168,14826.0,personal,default,low,7
9,15592389,402-4393761-0311520,18359.0,home,default,high,17
10,15767821,407-5633625-6970741,15373.0,home,pending,low,6
11,15737173,171-4638481-6326716,26216.0,home,paid,medium,13
12,15632264,405-5513694-8146768,43006.0,personal,pending,medium,10
13,15691483,408-7955685-3083534,7973.0,home,default,low,7
14,15600882,408-1298370-1920302,1037.0,personal,pending,medium,10
15,15643966,403-4965581-9520319,6613.0,business,pending,medium,10
16,15737452,406-9379318-6555504,18370.0,home,paid,medium,9
17,15788218,405-9013803-8009918,29711.0,personal,pending,medium,12
18,15661507,402-4030358-5835511,1471.0,business,pending,low,6
19,15568982,405-5957858-1051546,19250.0,home,paid,low,5
20,15577657,405-0607769-0716360,13478.0,personal,default,high,17
21,15597945,404-8494550-5860325,4972.0,business,default,medium,9
22,15699309,171-1305077-2813934,28648.0,personal,pending,low,6
23,15725737,404-6019946-2909948,4315.0,home,paid,low,5
24,15625047,402-3384087-4005164,15008.0,personal,paid,medium,12
25,15738191,405-8191138-5176316,28722.0,personal,pending,low,7
26,15736816,403-9230474-9657916,21552.0,personal,pending,low,7
27,15700772,408-3484251-6901959,13178.0,personal,default,high,17
28,15728693,405-7755803-4729935,28474.0,business,paid,low,5
29,15656300,404-5933402-8801952,45019.0,personal,paid,medium,10
30,15589475,171-9040274-9291563,5801.0,personal,paid,low,5
31,15706552,403-7056319-0979561,36600.0,personal,default,low,5
32,15750181,404-9632124-1107550,9800.0,personal,paid,medium,10
33,15659428,402-1465437-0579556,14342.0,business,pending,high,17
34,15732963,404-7774085-3780319,1232.0,home,pending,low,7
35,15794171,402-2764952-1492318,8331.0,home,default,low,6
36,15788448,406-0272200-7784379,29166.0,business,paid,medium,10
37,15729599,403-4367956-2849158,24178.0,home,pending,medium,14
38,15717426,403-4367956-2849158,28020.0,home,pending,low,6
39,15585768,403-4242957-8599555,11433.0,personal,paid,medium,14
40,15619360,408-7165704-5643524,21000.0,personal,pending,low,5
41,15738148,402-8210765-3935569,43040.0,personal,paid,medium,12
42,15687946,406-7398201-3869914,39049.0,personal,default,medium,10
